Param #3361: delta OK; RMS=0.00039178 mm
Param #3417: delta OK; RMS=0.00038514 mm
Param #3426: delta OK; RMS=0.0006065 mm
Param #3432: delta OK; RMS=0.00062328 mm
Param #3439: delta OK; RMS=0.00038723 mm
Param #3475: delta OK; RMS=0.00042388 mm
Param #3482: delta OK; RMS=0.00073169 mm
Param #3488: delta OK; RMS=0.00070199 mm
Param #3497: delta OK; RMS=0.00039968 mm
Param #3558: delta OK; RMS=0.00043288 mm
Param #3567: delta OK; RMS=0.00075037 mm
Param #3573: delta OK; RMS=0.0006694 mm
Param #3580: delta OK; RMS=0.00038961 mm
Param #3619: delta OK; RMS=0.00042369 mm
Param #3626: delta OK; RMS=0.00082134 mm
Param #3632: delta OK; RMS=0.00087688 mm
Param #3641: delta OK; RMS=0.00045028 mm
Param #3697: delta OK; RMS=0.00044338 mm
Param #3706: delta OK; RMS=0.00085547 mm
Param #3712: delta OK; RMS=0.0008726 mm
Param #3719: delta OK; RMS=0.00044341 mm
Param #3755: delta OK; RMS=0.0003921 mm
Param #3762: delta OK; RMS=0.00077111 mm
Param #3768: delta OK; RMS=0.00076814 mm
Param #3777: delta OK; RMS=0.00042078 mm
Param #3838: delta OK; RMS=0.0003877 mm
Param #3847: delta OK; RMS=0.00073172 mm
Param #3853: delta OK; RMS=0.00078989 mm
Param #3860: delta OK; RMS=0.00040678 mm
Param #3896: delta OK; RMS=0.00039998 mm
Param #3903: delta OK; RMS=0.00061884 mm
Param #3909: delta OK; RMS=0.00060735 mm
Param #3918: delta OK; RMS=0.00038594 mm
Param #3974: delta OK; RMS=0.00040324 mm
Param #3983: delta OK; RMS=0.00060102 mm
Param #3989: delta OK; RMS=0.00061948 mm
Param #3996: delta OK; RMS=0.00038926 mm
Param #4032: delta OK; RMS=0.00044515 mm
Param #4039: delta OK; RMS=0.00071736 mm
Param #4045: delta OK; RMS=0.0006877 mm
Param #4054: delta OK; RMS=0.00042855 mm
Param #4115: delta OK; RMS=0.00044423 mm
Param #4124: delta OK; RMS=0.00068911 mm
Param #4130: delta OK; RMS=0.00071975 mm
Param #4137: delta OK; RMS=0.00043793 mm
Param #4173: delta OK; RMS=0.00041667 mm
Param #4180: delta OK; RMS=0.00088029 mm
Param #4186: delta OK; RMS=0.0008591 mm
Param #4195: delta OK; RMS=0.00043835 mm
Param #4251: delta OK; RMS=0.00041692 mm
Param #4260: delta OK; RMS=0.00086023 mm
Param #4266: delta OK; RMS=0.00087547 mm
Param #4273: delta OK; RMS=0.00042332 mm
Param #4309: delta OK; RMS=0.00038645 mm
Param #4316: delta OK; RMS=0.00078629 mm
Param #4322: delta OK; RMS=0.00078226 mm
Param #4331: delta OK; RMS=0.00040031 mm
Param #4385: delta OK; RMS=0.00039583 mm
Param #4394: delta OK; RMS=0.00076443 mm
