Param #5907: delta OK; RMS=0.0028275 mm
Param #5913: delta OK; RMS=0.00037745 mm
Param #5927: delta OK; RMS=0.00038863 mm
Param #5933: delta OK; RMS=0.0029304 mm
Param #5941: delta OK; RMS=0.0019868 mm
Param #5955: delta OK; RMS=0.002507 mm
Param #5961: delta OK; RMS=0.0022114 mm
Param #5965: delta OK; RMS=0.0020357 mm
Param #5971: delta OK; RMS=0.0022113 mm
Param #5985: delta OK; RMS=0.0019542 mm
Param #5993: delta OK; RMS=0.0016625 mm
Param #5999: delta OK; RMS=0.0012155 mm
Param #6027: delta OK; RMS=0.0011778 mm
Param #6033: delta OK; RMS=0.0015718 mm
Param #6041: delta OK; RMS=0.0017277 mm
Param #6055: delta OK; RMS=0.0019771 mm
Param #6061: delta OK; RMS=0.0020541 mm
Param #6065: delta OK; RMS=0.0022439 mm
Param #6071: delta OK; RMS=0.0023148 mm
Param #6085: delta OK; RMS=0.002404 mm
Param #6093: delta too big; RMS=0.0059339 mm
Param #6093: delta OK; RMS=0.0010117 mm
Param #6099: delta OK; RMS=0.00054874 mm
Param #6113: delta OK; RMS=0.0005399 mm
Param #6119: delta too big; RMS=0.0058409 mm
Param #6119: delta OK; RMS=0.0010116 mm
Param #6127: delta OK; RMS=0.0025082 mm
Param #6141: delta OK; RMS=0.0024273 mm
Param #6147: delta OK; RMS=0.0022587 mm
Param #6151: delta OK; RMS=0.0020569 mm
Param #6157: delta OK; RMS=0.0020427 mm
Param #6171: delta OK; RMS=0.0017733 mm
Param #6179: delta OK; RMS=0.0016212 mm
Param #6185: delta OK; RMS=0.001215 mm
Param #6213: delta OK; RMS=0.0012385 mm
Param #6219: delta OK; RMS=0.0016856 mm
Param #6227: delta OK; RMS=0.0019796 mm
Param #6241: delta OK; RMS=0.0022631 mm
Param #6247: delta OK; RMS=0.0020798 mm
Param #6251: delta OK; RMS=0.0020855 mm
Param #6257: delta OK; RMS=0.0022468 mm
Param #6271: delta OK; RMS=0.0019409 mm
Param #6279: delta OK; RMS=0.001605 mm
Param #6285: delta OK; RMS=0.0011682 mm
Param #6313: delta OK; RMS=0.001142 mm
Param #6319: delta OK; RMS=0.0015469 mm
Param #6327: delta OK; RMS=0.0018345 mm
Param #6341: delta OK; RMS=0.0021418 mm
Param #6347: delta OK; RMS=0.0021231 mm
Param #6351: delta OK; RMS=0.0023142 mm
Param #6357: delta OK; RMS=0.0025338 mm
Param #5108: delta OK; RMS=0.001738 mm
Param #5120: delta too big; RMS=0.0046116 mm
Param #5120: delta OK; RMS=0.0010076 mm
Param #5124: delta OK; RMS=0.0028606 mm
Param #5138: delta OK; RMS=0.0013305 mm
Param #5144: delta too big; RMS=0.003382 mm
Param #5144: delta OK; RMS=0.0010057 mm
Param #5176: delta OK; RMS=0.0032005 mm
Param #5182: delta OK; RMS=0.0016961 mm
Param #5196: delta OK; RMS=0.00092523 mm
Param #5202: delta OK; RMS=0.0018801 mm
Param #5212: delta OK; RMS=0.00092428 mm
Param #5226: delta OK; RMS=0.0016972 mm
Param #5232: delta OK; RMS=0.0032172 mm
Param #5264: delta too big; RMS=0.0037316 mm
Param #5264: delta OK; RMS=0.0010064 mm
Param #5270: delta OK; RMS=0.0014845 mm
Param #5286: delta OK; RMS=0.0024758 mm
Param #5294: delta too big; RMS=0.0050268 mm
Param #5294: delta OK; RMS=0.0010089 mm
Param #5306: delta OK; RMS=0.0010658 mm
Param #5314: delta OK; RMS=0.0021384 mm
Param #5325: delta OK; RMS=0.001077 mm
Param #5333: delta OK; RMS=0.0022402 mm
Param #6575: delta too big; RMS=0.0036613 mm
Param #6575: delta OK; RMS=0.001005 mm
Param #6579: delta OK; RMS=0.0025697 mm
Param #6593: delta OK; RMS=0.0012754 mm
Param #6599: delta too big; RMS=0.0033639 mm
Param #6599: delta OK; RMS=0.0010055 mm
Param #6631: delta OK; RMS=0.0032638 mm
Param #6637: delta OK; RMS=0.0017411 mm
Param #6651: delta OK; RMS=0.00094383 mm
Param #6657: delta OK; RMS=0.0018659 mm
Param #6667: delta OK; RMS=0.0009069 mm
Param #6681: delta OK; RMS=0.0016723 mm
Param #6687: delta OK; RMS=0.0032194 mm
Param #6719: delta too big; RMS=0.003638 mm
Param #6719: delta OK; RMS=0.0010063 mm
Param #6725: delta OK; RMS=0.0015234 mm
Param #6739: delta OK; RMS=0.0026201 mm
Param #6747: delta too big; RMS=0.0051806 mm
Param #6747: delta OK; RMS=0.0010089 mm
Param #6759: delta OK; RMS=0.0010878 mm
Param #6767: delta OK; RMS=0.0020449 mm
Param #6778: delta OK; RMS=0.0010213 mm
Param #6786: delta OK; RMS=0.0023279 mm
Param #6473: delta too big; RMS=0.0036101 mm
Param #6473: delta OK; RMS=0.0010058 mm
Param #6475: delta OK; RMS=0.0026559 mm
Param #6481: delta OK; RMS=0.00056877 mm
Param #6497: delta OK; RMS=0.0006758 mm
Param #6507: delta OK; RMS=0.0025359 mm
Param #6517: delta OK; RMS=0.003249 mm
Param #6541: delta OK; RMS=0.0022232 mm
Param #6551: delta OK; RMS=0.0026733 mm
Param #6563: delta OK; RMS=0.0021862 mm
Param #6571: delta OK; RMS=0.00080242 mm
Param #5483: delta OK; RMS=0.0018466 mm
