Param #3425: delta OK; RMS=0.0010497 mm
Param #3431: delta OK; RMS=0.0010713 mm
Param #3438: delta OK; RMS=0.0003073 mm
Param #3474: delta OK; RMS=0.00030961 mm
Param #3481: delta OK; RMS=0.0010065 mm
Param #3487: delta OK; RMS=0.00099089 mm
Param #3496: delta OK; RMS=0.00034237 mm
Param #3557: delta OK; RMS=0.00034216 mm
Param #3566: delta OK; RMS=0.0010304 mm
Param #3572: delta OK; RMS=0.00093005 mm
Param #3579: delta OK; RMS=0.00029703 mm
Param #3618: delta OK; RMS=0.00030306 mm
Param #3625: delta OK; RMS=0.0010015 mm
Param #3631: delta OK; RMS=0.0010749 mm
Param #3640: delta OK; RMS=0.00034131 mm
Param #3696: delta OK; RMS=0.00034834 mm
Param #3705: delta OK; RMS=0.0010441 mm
Param #3711: delta OK; RMS=0.0010597 mm
Param #3718: delta OK; RMS=0.00030734 mm
Param #3754: delta OK; RMS=0.00031341 mm
Param #3761: delta OK; RMS=0.0010872 mm
Param #3767: delta OK; RMS=0.0010732 mm
Param #3776: delta OK; RMS=0.00035071 mm
Param #3837: delta OK; RMS=0.00034291 mm
Param #3846: delta OK; RMS=0.0010432 mm
Param #3852: delta OK; RMS=0.0011058 mm
Param #3859: delta OK; RMS=0.00031123 mm
Param #3895: delta OK; RMS=0.00030736 mm
Param #3902: delta OK; RMS=0.0010293 mm
Param #3908: delta OK; RMS=0.001017 mm
Param #3917: delta OK; RMS=0.00034319 mm
Param #3973: delta OK; RMS=0.00033812 mm
Param #3982: delta OK; RMS=0.0010075 mm
Param #3988: delta OK; RMS=0.0010285 mm
Param #3995: delta OK; RMS=0.00030697 mm
Param #4031: delta OK; RMS=0.00030583 mm
Param #4038: delta OK; RMS=0.0010313 mm
Param #4044: delta OK; RMS=0.0010137 mm
Param #4053: delta OK; RMS=0.00034111 mm
Param #4114: delta OK; RMS=0.00033823 mm
Param #4123: delta OK; RMS=0.00098766 mm
Param #4129: delta OK; RMS=0.001044 mm
Param #4136: delta OK; RMS=0.00030697 mm
Param #4172: delta OK; RMS=0.00031723 mm
Param #4179: delta OK; RMS=0.0010436 mm
Param #4185: delta OK; RMS=0.0010268 mm
Param #4194: delta OK; RMS=0.00034583 mm
Param #4250: delta OK; RMS=0.00034769 mm
Param #4259: delta OK; RMS=0.0010226 mm
Param #4265: delta OK; RMS=0.0010418 mm
Param #4272: delta OK; RMS=0.00031126 mm
Param #4308: delta OK; RMS=0.00030771 mm
Param #4315: delta OK; RMS=0.0010481 mm
Param #4321: delta OK; RMS=0.0010303 mm
Param #4330: delta OK; RMS=0.00034579 mm
Param #4384: delta OK; RMS=0.00034165 mm
Param #4393: delta OK; RMS=0.0010256 mm
